,STORE_CD,L12M_TY_QTY,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,WINE_FLG,LIQUOR_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT,NORM_L12M_TY_QTY,CLUSTER,RTL_STORE_CD,BEERTYPE
1786,102025081,43.0,LODGING,FULL SERVICE LODGING,VARIED MENU,True,True,0.7578,0.0875,0.0741,0.0576,0.0135,0.02,0.0241,0.017,0.042,0.0598,0.0672,0.0721,0.0718,0.1687,0.1395,0.3789,0.0241,0.0768,0.068,0.0647,0.062,0.0369,0.0211,0.0238,0.0776,0.0684,0.0663,0.0664,0.0429,0.0314,0.0073671713936427526,0,102025081,NonLowPoint
1787,105649185,61.0,DINING,CASUAL DINING,VARIED MENU,True,True,0.9648,0.0038,0.0107,0.0121,0.0024,0.0039,0.0058,0.0061,0.0397,0.0792,0.0751,0.0965,0.0992,0.2195,0.1517,0.239,0.0206,0.0511,0.0589,0.0615,0.0856,0.06,0.0345,0.021,0.0463,0.0544,0.0584,0.0732,0.0576,0.0474,0.010493512789497911,0,105649185,NonLowPoint
1788,101620392,39.0,DINING,CASUAL DINING,AMERICAN,True,True,0.7927,0.1116,0.0357,0.0425,0.0092,0.0126,0.0207,0.0149,0.051,0.0831,0.0725,0.0811,0.0674,0.1667,0.1563,0.322,0.0189,0.0776,0.0703,0.061,0.0623,0.042,0.0344,0.017,0.0787,0.0691,0.0654,0.0706,0.0536,0.0637,0.006672428861230495,0,101620392,NonLowPoint
1789,205649008,32.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.938,0.0025,0.0293,0.0217,0.0045,0.0071,0.01,0.0069,0.0324,0.085,0.0867,0.0954,0.0983,0.2123,0.1628,0.22699999999999998,0.0203,0.0514,0.0577,0.0612,0.0759,0.0596,0.0404,0.0206,0.0501,0.0523,0.0571,0.0781,0.0582,0.048,0.005456629429509044,0,205649008,NonLowPoint
1790,107529212,6.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.9762,0.0014,0.0025,0.0136,0.0026,0.0044,0.0066,0.0033,0.0387,0.0698,0.0853,0.0974,0.0838,0.2307,0.1537,0.2406,0.0239,0.0522,0.0558,0.0731,0.095,0.0595,0.0399,0.0214,0.0466,0.0513,0.0673,0.0822,0.0573,0.0449,0.0009408029688293691,0,107529212,NonLowPoint
1791,105648957,13.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.977,0.0021,0.006999999999999999,0.0089,0.0018,0.0029,0.0042,0.0035,0.0263,0.0539,0.0649,0.0699,0.0687,0.2042,0.1884,0.3236,0.0285,0.0622,0.0606,0.0701,0.0701,0.0415,0.0271,0.0272,0.0574,0.0583,0.0676,0.0666,0.0413,0.0335,0.00215660240055082,0,105648957,NonLowPoint
1792,101935947,42.0,DINING,CASUAL DINING,STEAK,True,True,0.9731,0.0035,0.0054,0.0098,0.002,0.0031,0.0046,0.0056,0.047,0.0868,0.0778,0.0981,0.0902,0.2021,0.1422,0.2558,0.0212,0.0552,0.0538,0.0571,0.0771,0.06,0.0433,0.0207,0.0517,0.0519,0.057,0.0761,0.0648,0.0637,0.007193485760539688,0,101935947,NonLowPoint
1793,102012444,1.0,DINING,FAST CASUAL,AMERICAN,True,True,0.8589,0.0092,0.0106,0.0182,0.0038,0.0058,0.0085,0.0232,0.0573,0.1472,0.1106,0.1179,0.1125,0.161,0.127,0.1666,0.0428,0.0789,0.0556,0.0412,0.0456,0.035,0.0292,0.0417,0.0767,0.0565,0.0449,0.0573,0.0431,0.0487,7.237480331404694e-05,0,102012444,NonLowPoint
1794,105648451,10.0,LODGING,FULL SERVICE LODGING,OTHER,True,True,0.9316,0.0024,0.0254,0.0128,0.0023,0.0042,0.0063,0.0123,0.0299,0.0733,0.0928,0.1129,0.1274,0.2266,0.1647,0.1724,0.0227,0.0519,0.0516,0.0755,0.0956,0.0602,0.0336,0.0206,0.0455,0.0496,0.0651,0.0899,0.0546,0.0377,0.0016355455012416265,0,105648451,NonLowPoint
1795,105647931,18.0,DINING,CASUAL DINING,AMERICAN,True,True,0.9631,0.0018,0.0138,0.0099,0.0014,0.0033,0.0052,0.0046,0.0322,0.0693,0.094,0.1194,0.1164,0.2291,0.1232,0.2164,0.0259,0.0455,0.0526,0.0555,0.0644,0.0596,0.0339,0.025,0.0449,0.0496,0.055,0.0643,0.0517,0.0357,0.003025030566066142,0,105647931,NonLowPoint
