"RTL_STORE_CD","ITEM_MASTER_SKU_DSC","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_PREMISE_TYPE_CD","WJXBFS1"
"200501871","MODELO ESP 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",442
"301736149","CORONA EX 12PK BT","DINING","CASUAL DINING","ON",2
"102125326","MODELO NEGRA 12PK BT","DINING","CASUAL DINING","ON",8
"102630304","MODELO ESP 18PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",303
"102630304","CORONA EX 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",13
"101792428","MODELO CHELADA 24OZ CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",8
"101792428","CORONA LT 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",124
"102031430","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",18.6663
"100763937","MODELO ESP 24OZ CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",40
"103828019","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",11
"107491727","MODELO ESP 12PK CAN","DINING","CASUAL DINING","ON",5
"101403758","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",31
"101856465","PACIFICO 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",40
"100493386","CORONA EX 3.2 6PK BT","EXTENDED MASTER OFF-PREMISE","ETHNIC MARKETS","OFF",36
"100493386","MODELO ESP 3.2 12PK CAN","EXTENDED MASTER OFF-PREMISE","ETHNIC MARKETS","OFF",6
"200764675","MODELO ESP 24OZ CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",10
"102912383","CORONA EX 3.2 12PK BT","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",73
"101000283","MODELO ESP 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",38
"107243224","VICTORIA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",3
"103946193","CORONA EX 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",12
"101671571","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",5
"102620638","CORONA EX 3.2 6PK BT","DINING","CASUAL DINING","ON",492
"100767473","PACIFICO 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",17
"101491006","CORONITA 7OZ 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",1.1666
"100763740","CORONA EX 18PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",164.25
"100339437","CORONA LT 12PK CAN","LIQUOR","LIQUOR SUPER STORE","OFF",1
"107363611","CORONA EX 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",22
"101403672","MODELO ESP 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",179
"101403672","PACIFICO 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",14
"100316548","CORONA LT 18PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",3
"300696157","MODELO ESP 3.2 12PK CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",3
"200652778","CORONA EX 3.2 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",4
"100682109","MODELO ESP 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",103
"101438782","CORONA LT 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",12
"201671562","MODELO ESP 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",5
"100593996","CORONA EX 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",69
"101616875","MODELO ESP 6PK BT","DINING","CASUAL DINING","ON",3
"101616875","CORONA EX 24PK BT","DINING","CASUAL DINING","ON",1
"200470289","CORONA EX 3.2 18PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",12
"101000288","CORONA EX 6PK CAN","LIQUOR","LIQUOR SUPER STORE","OFF",5
"100565596","CORONA EX 18PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",596.25
"100565596","PACIFICO 1/2 BL KEG","LIQUOR","CONVENTIONAL LIQUOR","OFF",213.5559
"101799827","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",43
"101799827","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",10.6664
"101404008","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",110
"103662939","CORONA LT 3.2 12PK BT","GROCERY","SUPERCENTER","OFF",60
"100763440","CORONA LT 18PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",11.25
"100763440","CORONA EX 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",8
"100552851","MODELO CHELADA 24OZ CAN","GROCERY","SUPERCENTER","OFF",26
"203185560","CORONA EX 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",21
"201403873","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",7
"101606241","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",9
"101606241","MODELO ESP 24OZ CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",36
"201403923","CORONA EX 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",574
"102487381","CORONA EX 18PK BT","DINING","CASUAL DINING","ON",302.25
"102487381","PACIFICO 12PK BT","DINING","CASUAL DINING","ON",13
"100494638","CORONA LT 3.2 12PK BT","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",18
"102258460","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",174.6671
"102258460","MODELO ESP 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",136
"201953385","MODELO ESP 3.2 6PK BT","DINING","CASUAL DINING","ON",12
"101404033","CORONA EX 18PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",180
"105528842","CORONA EX 12PK BT","DINING","CASUAL DINING","ON",8
"101732069","CORONA LT 12PK CAN","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",3
"100090399","MODELO CHELADA 24OZ CAN","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",6
"107524817","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",3
"107381771","MODELO ESP 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",1
"201403999","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",9
"201000263","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",38.6663
"207266691","CORONA LT 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",2
"100695970","MODELO NEGRA 6PK BT","DINING","CASUAL DINING","ON",5
"100495778","MODELO CHE TAMPIC 3.2 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",6
"100958274","CORONA EX 3.2 12PK BT","DRUG","CONVENTIONAL DRUG","OFF",3
"101404068","CORONITA 7OZ 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",27.4162
"201671608","CORONA LT 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",3
"201437184","MODELO CHELADA 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",6
"102125326","CORONA EX 18PK BT","DINING","CASUAL DINING","ON",28.5
"102125326","PACIFICO 6PK BT","DINING","CASUAL DINING","ON",2
"101403793","MODELO ESP 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",17
"102630304","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",105.3335
"102630304","CORONITA 7OZ 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",54.8333
"202601102","CORONA LT 12PK BT","DINING","CASUAL DINING","ON",49
"101580276","CORONA EX 12PK CAN","RECREATION","GOLF/COUNTRY CLUB","ON",8
"201404077","MODELO NEGRA 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",108
"101694009","CORONA LT 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",1
"100316533","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",169
"101403966","MODELO ESP 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",1027
"100766580","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",26
"100766580","CORONA EX 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",4
"203712815","MODELO ESP 3.2 12PK CAN","DINING","CASUAL DINING","ON",15
"101000494","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",3
"100683827","MODELO CHELADA 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",7
"100768202","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",25
"103703550","MODELO ESP 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",322
"101403893","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",27
"100768034","CORONA LT 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",58
"101733681","CORONA EX 16OZ 4PK CAN","CATERER","FOOD SERVICE","ON",33.3333
"100763688","MODELO ESP 6PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",67
"101404057","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",35.9992
"107331586","CORONA EX 3.2 6PK BT","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",112
"100592992","MODELO ESP 3.2 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",26
"101000545","VICTORIA 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",11
"107077864","CORONA EX 18PK BT","DINING","CASUAL DINING","ON",4.5
"101804621","CORONA EX 3.2 6PK BT","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",11
"100764245","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",43
"101658430","CORONA EX 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",85
"101658430","MODELO ESP 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",760
"101476151","CORONA EX 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",87
"102581469","CORONA LT 24PK BT","DINING","CASUAL DINING","ON",6
"100316569","CORONITA 7OZ 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",11.666
"101000299","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",83.9998
"200642127","CORONA EX 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",77
"101403768","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",53
"101403768","PACIFICO 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",8
"203577035","CORONA EX 3.2 12PK BT","DINING","CASUAL DINING","ON",2
"101616943","PACIFICO 12PK BT","RECREATION","PRIVATE CLUB","ON",1
"101735461","MODELO ESP 18PK CAN","DINING","CASUAL DINING","ON",0.75
"101404141","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",21
"101404141","MODELO ESP 24OZ CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",24
"100766920","CORONA EX 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",53
"103853053","CORONA EX 6PK BT","LIQUOR","BEER SPECIALTY STORE","OFF",6
"107192584","CORONA LT 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",2
"202059662","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",1.3333
"100991422","CORONA EX 3.2 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",126
"107246306","CORONA EX 3.2 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",6
"101920344","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",35
